Frente;Reverso;Tags
¿Cuándo usarías Nube Híbrida?;Cuando necesitas datos sensibles en nube privada (cumplimiento normativo) y servidores web en pública (escalabilidad). Optimiza costos y mantiene seguridad. Ej: banca con datos críticos locales + app móvil en AWS.;cloud modelo_despliegue aplicacion avanzado
¿Qué ventaja ofrece Multinube?;Evita dependencia de un proveedor, optimiza costos/servicios eligiendo lo mejor de cada nube, y provee redundancia si falla un proveedor. Complejidad de gestión muy alta.;cloud modelo_despliegue multinube ventaja avanzado
¿Qué es IaaS y qué gestionas tú?;Infrastructure as a Service: proveedor da infraestructura virtualizada (servidores, almacenamiento, redes). Tú gestionas sistema operativo, software, bases de datos, aplicaciones. Ej: EC2, Azure VM.;cloud iaas modelo_servicio intermedio
Ejemplo práctico de IaaS;Necesitas un servidor Linux con 8GB RAM. En AWS EC2 seleccionas una instancia, eliges imagen de Ubuntu, pero tú instalas Apache, configuras firewall y gestionas actualizaciones. El proveedor solo mantiene el hardware físico.;cloud iaas ejemplo aplicacion basico
¿Qué es PaaS y qué ventaja ofrece a desarrolladores?;Platform as a Service: proveedor gestiona SO, servidores y escalado. Tú solo gestionas tu código fuente. Ventaja: te centras en desarrollar/desplegar sin preocuparte de infraestructura. Ej: Google App Engine.;cloud paas modelo_servicio intermedio
Diferencia clave: PaaS vs IaaS;IaaS: tú gestionas SO y apps (más control, más trabajo). PaaS: proveedor gestiona SO y servidores (menos control, más productividad).;cloud comparacion iaas paas intermedio
¿Cuándo elegirías SaaS?;Software as a Service: cuando solo necesitas usar una app sin instalar nada. Ej: Gmail, Google Docs, Salesforce. Proveedor gestiona todo: infraestructura, mantenimiento, actualizaciones.;cloud saas modelo_servicio intermedio
Ordena los modelos por nivel de control (mayor a menor);IaaS (control total) → PaaS (control medio) → SaaS (control mínimo).;cloud modelo_servicio comparacion intermedio
¿Qué es Infrastructure as Code (IaC)?;Práctica de definir infraestructura cloud mediante código fuente en lenguaje declarativo (qué queremos, no cómo). Permite versionar, reproducir entornos y escalar automáticamente. Ej: Terraform con HCL.;cloud iac automatizacion avanzado
Ventajas clave de usar IaC;1. Versionar infraestructura como software 2. Reproducir entornos idénticos en cualquier lugar 3. Escalar/destruir recursos automáticamente 4. Reducir errores humanos en configuración;cloud iac ventajas intermedio
Ejemplo de código IaC en Terraform;resource "aws_instance" "web" {ami = "ami-0c02fb55956c7d316" instance_type = "t2.micro"}. Esto crea una instancia EC2. El código describe estado deseado, Terraform ejecuta el plan.;cloud iac terraform ejemplo basico
Diferencia: lenguaje declarativo vs imperativo;Declarativo: dices QUÉ quieres (quiero un servidor). Imperativo: dices CÓMO (instala SO, configura red, etc.). IaC usa lenguajes declarativos.;cloud iac programacion intermedio
¿Qué es un hipervisor y para qué sirve?;Software que separa hardware del entorno virtual, permitiendo ejecutar múltiples VMs con SO independientes sobre un mismo hardware físico. Ej: VMware ESXi, KVM.;virtualizacion hipervisor basico
Diferencia: Hipervisor tipo 1 vs tipo 2;Tipo 1 (bare metal): se instala directamente en hardware, alta eficiencia (ESXi, KVM). Tipo 2 (hosted): corre sobre un SO host, menos eficiente (VirtualBox, VMware Workstation).;virtualizacion hipervisor comparacion intermedio
Ventajas principales de la virtualización;1. Aprovechamiento de hardware (varias VMs en uno) 2. Aislamiento (fallo en una no afecta a otras) 3. Escalabilidad y flexibilidad 4. Facilidad de copia/migración;virtualizacion ventajas basico
Inconvenientes críticos de la virtualización;1. Rendimiento inferior por sobrecarga del hipervisor 2. Riesgo punto único de fallo (hardware físico) 3. Seguridad relativa (vulnerabilidades en hipervisor) 4. Complejidad técnica y coste inicial;virtualizacion inconvenientes intermedio
¿Qué es un contenedor y qué contiene?;Software independiente que encapsula una aplicación y TODAS sus dependencias (bibliotecas, archivos de configuración) en entorno aislado. Comparte kernel del SO host pero es portable. Ej: Docker.;contenedor definicion basico
Diferencia fundamental: Contenedor vs Máquina Virtual;VM: incluye SO completo invitado sobre hipervisor, más pesada, aislamiento total. Contenedor: comparte kernel SO host, solo aísla app+dependencias, más ligero y rápido.;contenedor vm comparacion intermedio
¿Por qué Docker es más eficiente que VM para microservicios?;Los contenedores comparten kernel, usan menos recursos, inician en segundos y permiten escalar horizontalmente rápido. Cada microservicio puede tener su contenedor con dependencias específicas sin SO completo.;contenedor microservicios eficiencia avanzado
¿Qué pasa si un contenedor se ejecuta en una VM?;Es el modelo habitual en la nube: VM en centro de datos remoto, dentro corren múltiples contenedores. Combina aislamiento de VM con ligereza de contenedores.;contenedor vm cloud intermedio
¿Qué es la virtualización de red?;Tecnología que permite crear redes virtuales (switches, routers, firewalls) sobre misma infraestructura física, gestionadas por software. Ej: VMware NSX, Open vSwitch.;virtualizacion red definicion intermedio
¿Qué es la virtualización de almacenamiento?;Combina discos físicos de múltiples servidores en un único recurso lógico compartido. Mejora redundancia y rendimiento. Ej: VMware vSAN, Microsoft Storage Spaces Direct.;virtualizacion almacenamiento intermedio
¿Qué es TCP y qué garantiza?;Transmission Control Protocol, orientado a conexión, garantiza entrega de datos sin errores y en secuencia correcta. Usa handshake (SYN, SYN-ACK, ACK) y retransmisión. Lento pero fiable.;tcp definicion protocolo intermedio
¿Qué es UDP y cuándo usarlo?;User Datagram Protocol, no orientado a conexión, no garantiza entrega. Rápido, bajo consumo de recursos. Ideal para streaming, VoIP, juegos online donde velocidad > fiabilidad.;udp definicion protocolo intermedio
Diferencia TCP vs UDP en términos de velocidad vs fiabilidad;TCP: garantiza entrega (lento, sobrecarga). UDP: no garantiza (rápido, ligero). TCP para web/correo, UDP para tiempo real.;tcp udp comparacion intermedio
¿Qué puerto usa HTTP y HTTPS?;HTTP usa puerto 80, HTTPS usa puerto 443 (HTTP con cifrado TLS/SSL).;tcp_ip puertos basico
Explica el proceso de handshake TCP de 3 pasos;1. Cliente envía SYN 2. Servidor responde SYN-ACK 3. Cliente envía ACK. Solo tras esto se transmite datos. Asegura conexión confiable antes de transferencia.;tcp handshake secuencia intermedio
¿Cómo cierra TCP la conexión?;Handshake de cierre FIN-ACK: 1. Cliente envía FIN 2. Servidor ACK 3. Servidor FIN 4. Cliente ACK final. Cada lado confirma cierre.;tcp cierre secuencia intermedio
¿Qué es un socket?;Combinación de dirección IP + número de puerto. Identifica conexión específica entre aplicaciones en red. Ej: 192.168.1.10:80;tcp_ip socket intermedio
¿Qué información lleva el paquete IP en su cabecera?;IP origen, IP destino, campo Protocolo (6=TCP, 17=UDP), datos útiles (payload). Permite enrutamiento entre redes.;ip cabecera protocolo intermedio
¿Qué es ARP y para qué sirve?;Address Resolution Protocol. Resuelve direcciones MAC a partir de IPs. Es decir, encuentra la MAC del host con una IP determinada para comunicación en red local.;arp protocolo funcion intermedio
Diferencia entre IP pública y privada;Pública: única en Internet, asignada a routers/gateways. Privada: única en LAN interna, no enrutable en Internet. Ej: 192.168.x.x privada.;ip publica_privada comparacion basico
¿Para qué sirve NAT?;Network Address Translation. Permite que múltiples dispositivos con IPs privadas compartan una única IP pública para navegar por Internet.;nat funcion protocolo intermedio
¿Qué es una subred y por qué crearla?;Porción de red dividida lógicamente con rango IP propio. Motivos: reducir tráfico broadcast (dominio de difusión) y aumentar seguridad separando segmentos.;subred definicion motivos intermedio
¿Qué dispositivo conecta subredes?;Router. Sabe qué es una red y subred. Las subredes quedan ocultas detrás del router y se comunican a través de él.;router subred conexion intermedio
Cómo calcular direcciones de broadcast;Última IP del rango de subred. Ej: red 192.168.1.0/24 → broadcast 192.168.1.255. No se asigna a hosts.;subred broadcast calculo intermedio
¿Qué es DevSecOps y por qué surgió?;Metodología que integra seguridad en TODO el ciclo de vida del desarrollo (en cada fase). Surgió porque la seguridad tradicional era auditoría final, descubriendo brechas tarde y costando caro rehacer código.;devsecops definicion origen intermedio
Diferencia DevOps vs DevSecOps;DevOps: integra desarrollo y operaciones, seguridad es aparte. DevSecOps: integra desarrollo, seguridad Y operaciones desde el inicio. Seguridad es puerta de entrada, no revisión final.;devsecops devops comparacion intermedio
¿Cómo alinea DevSecOps con RGPD?;Cumple principios "privacidad por diseño" (integrar protección desde fases tempranas) y "por defecto" (máxima protección sin configuración usuario). Seguridad es prioridad desde inicio.;devsecops rgpd privacidad avanzado
Herramientas DevSecOps mencionadas;AWS CodeGuru, Vault (gestión secretos), Snyk (vulnerabilidades), Bandit (Python). Escanean código y dependencias en cada fase.;devsecops herramientas basico
¿Qué topología de red es más común en LAN?;Topología en estrella. Todos los dispositivos conectan a un nodo central (hub/switch). Fácil de instalar, diagnóstico sencillo, pero dependiente del nodo central.;redes topologia lan intermedio
Diferencia: Hub vs Switch;Hub: reenvía datos a TODOS los puertos (ineficiente). Switch: reenvía solo al puerto destinatario (mejora rendimiento). Switch opera en capa 2, hub es repetidor físico.;redes hub_switch comparacion intermedio
¿Cuándo necesitas router y módem?;Módem solo conecta un dispositivo a Internet. Router distribuye conexión a múltiples redes. Los routers modernos integran módem. Router opera capa 3, necesita módem para WAN.;redes router_modem funcion intermedio
¿Qué protocolo usan las páginas web seguras?;HTTPS en capa 4 (Aplicación), que es HTTP con cifrado TLS/SSL. Usa puerto 443. HTTP sin cifrar usa puerto 80.;tcp_ip protocolos seguridad basico
¿Qué hace DHCP?;Dynamic Host Configuration Protocol. Asigna IPs dinámicamente a hosts en red, máscara, gateway y DNS. Permite reutilizar IPs cuando no se usan.;dhcp definicion protocolo intermedio
¿Qué es DNS y cuál es su función?;Domain Name System. Traduce nombres de dominio (ej: google.com) en direcciones IP (ej: 142.250.185.14) para que navegadores encuentren servidores.;dns definicion protocolo basico
¿Para qué sirve ICMP?;Internet Control Message Protocol. Envía mensajes de estado/error entre nodos de red. Ej: "host no encontrado" (ping). Se usa en diagnóstico de redes.;icmp definicion protocolo intermedio
Cómo se diferencia IPv4 de IPv6 en cantidad de direcciones;IPv4: 32 bits = 4,294,967,296 direcciones. IPv6: 128 bits = 340,282,366,920,938,463,463,374,607,431,768,211,456 direcciones. IPv6 resuelve agotamiento IPv4.;ipv4_ipv6 comparacion avanzado
¿Qué es VLSM y cuándo usarlo?;Variable Length Subnet Mask. Permite dividir red en subredes de TAMAÑOS DIFERENTES. Útil cuando necesitas subredes con distinta cantidad de hosts (ej: oficina principal vs sucursales).;subred vlsm avanzado
¿Qué es Free Cooling en centros de datos?;Técnica que usa aire exterior frío para refrigerar equipos sin compresores, reduciendo consumo energético. Ej: centro de Alcalá usa sistemas que aprovechan aire exterior.;centro_datos refrigeracion eficiencia intermedio
Problema de hot-spots en racks sin contención;Espacios vacíos en racks permiten recirculación de aire caliente → formación de puntos calientes (hot-spots) que sobrecalientan equipos. Solución: placas ciegas en espacios vacíos.;centro_datos refrigeracion problema intermedio
Ventajas de cloud personal (Nextcloud, Proxmox);Control total sobre datos/independencia de big tech. Inconvenientes: mantenimiento propio, coste de hardware, necesitas expertise. Para privacidad máxima o aprendizaje.;cloud_personal ventajas_desventajas avanzado
¿Qué es colocación en centros de datos españoles?;Alquilar espacio dentro de un centro de datos para tus propios servidores. Tú eres responsable de mantenimiento. Ej: Equinix Madrid, Iron Mountain San Fernando (79MW).;centro_datos espana colocacion basico
Capacidad del centro de Alcalá de Henares;23,461 m², Tier IV, LEED Gold, 50 MW (abastece 10,000-16,000 hogares), 99.995% disponibilidad, refrigeración Free Cooling, diseño modular.;centro_datos espana alcala basico
¿Qué protocolo usa SSH y por qué es mejor que Telnet?;SSH usa TCP (puerto 22). Cifra datos y autentica, mientras Telnet envía texto plano. SSH es seguro, Telnet es obsoleto por inseguro.;tcp_ip ssh seguridad intermedio
¿Qué diferencia SMTP, POP3 e IMAP?;SMTP envía correos. POP3 descarga y BORRA del servidor (no sincroniza). IMAP no descarga, permite sincronizar múltiples dispositivos accediendo al mismo servidor.;tcp_ip correos protocolo intermedio
¿Qué es TCP en 3 palabras?;Confiable, orientado a conexión, lento por sobrecarga.;tcp resumen basico
¿Qué es UDP en 3 palabras?;Rápido, no confiable, sin conexión.;udp resumen basico
¿Qué es un bloque de agua en refrigeración líquida?;Componente metálico que se coloca sobre CPU. Absorbe calor, lo transfiere a líquido que circula por tuberías hasta radiador donde se disipa.;refrigeracion liquid_cooling basico
¿Por qué la IA duplicará consumo de centros de datos para 2026?;Machine Learning y Deep Learning requieren GPU y enormes conjuntos de datos (10^5-10^7 registros). IEA prevé duplicación de consumo energético. Causa principal de crecimiento.;centro_datos ia consumo avanzado
Diferencia entre hosting y housing en centros de datos;Hosting: proveedor pone servidores propios compartidos/virtuales. Housing: cliente trae sus propios servidores físicos al centro de datos. Ej: Alcalá ofrece ambos.;centro_datos servicios intermedio
¿Qué es NAT en 2 palabras?;Traducción de direcciones. Permite múltiples IPs privadas usar una pública.;nat resumen basico
¿Qué es un socket ejemplo?;192.168.1.100:8080 (IP + puerto). Identifica conexión específica en red.;tcp_ip socket ejemplo basico
¿Qué es el campo Protocolo en cabecera IP?;Indica protocolo capa superior: 6=TCP, 17=UDP. Permite IP entregar paquete correctamente.;ip cabecera protocolo intermedio
¿Cómo se calcula máscara /24 en decimal?;255.255.255.0. Los primeros 24 bits son 1 (red), últimos 8 bits son 0 (hosts). Permite 254 hosts.;subred mascara_calculo intermedio
¿Qué es un hipervisor bare-metal?;Se instala DIRECTAMENTE sobre hardware sin SO intermedio. Máxima eficiencia. Ej: VMware ESXi, KVM.;virtualizacion hipervisor_tipo1 basico
¿Qué es un hipervisor hosted?;Corre SOBRE un sistema operativo host. Depende de él. Menos eficiente. Ej: VirtualBox, VMware Workstation.;virtualizacion hipervisor_tipo2 basico
¿Qué es virtualización de aplicaciones?;Permite acceder a app remota sin instalación local. Separa app de SO. Ej: Citrix, VMware ThinApp. Clave para trabajo remoto a gran escala.;virtualizacion aplicaciones intermedio
¿Qué es VDI?;Virtual Desktop Infrastructure. Crea escritorios de usuario (Windows/Linux) alojados en servidores. Usuario accede remotamente con protocolo RDP/PCoIP. Ej: VMware Horizon, Azure Virtual Desktop.;virtualizacion vdi definicion intermedio
¿Qué es Docker Compose vs Dockerfile?;Dockerfile define una imagen. Docker Compose orquesta múltiples contenedores con su configuración (redes, volúmenes). Para aplicaciones multi-contenedor.;contenedores docker herramientas avanzado
¿Qué es un Pod en Kubernetes?;Grupo de uno o más contenedores que comparten almacenamiento/red y se ejecutan co-localizados. Unidad mínima desplegable en K8s.;contenedores kubernetes avanzado
Razón principal: contenedores usan menos RAM que VMs;VM necesita cargar SO completo (512MB-2GB). Contenedor comparte kernel y carga solo procesos de app (10-100MB). Diferencia de 10-50x.;contenedor vm eficiencia_ram avanzado
¿Qué es un datacenter tier III?;Sistemas principales y alternativos de energía/refrigeración, ambos con componentes redundantes. Permite mantenimiento sin interrumpir operación. 99.982% disponibilidad.;centro_datos tier3 intermedio
¿Qué es un datacenter tier I?;Sistema único de distribución energía, SAI y refrigeración. Sin redundancia. Cualquier fallo interrumpe servicio. Disponibilidad 99.671%.;centro_datos tier1 basico
Ventajas contención de aire caliente en pasillo;1. Ahorro energía significativo 2. Temperaturas estables 3. Evita hot-spots 4. Mejora eficiencia PUE. Inconveniente: coste inicial mayor, trabajo en pasillo caliente es incómodo.;centro_datos refrigeracion ventajas intermedio
¿Qué es PUE en centros de datos?;Power Usage Effectiveness. Ratio energía total / energía IT. Cuanto más cercano a 1.0, más eficiente. Contención térmica reduce PUE.;centro_datos eficiencia pue avanzado
¿Qué esPUE y cómo se calcula;Power Usage Effectiveness = Energía total del centro / Energía usada por equipos IT. Ideal 1.0. Valor > 1.5 es ineficiente. La contención térmica mejora PUE.;centro_datos eficiencia pue calculo avanzado
¿Por qué evitar espacios vacíos en racks?;El aire caliente recircula por espacios vacíos → hot-spots → sobrecalentamiento. Solución: placas ciegas (blanking plates) para bloquear flujo y dirigir aire frío solo donde necesario.;centro_datos refrigeracion eficiencia intermedio
¿Qué es In-Row Cooling?;Unidades de refrigeración situadas ENTRE filas de racks (en el pasillo). Capturan calor directamente donde se genera, más eficiente que refrigeración general de sala. Usado en contención de pasillo caliente.;centro_datos refrigeracion tecnologia avanzado
Herramienta de simulación para refrigeración;APC InRow Cooling Containment Selector (online). Permite calcular sistema óptimo según: layout, densidad de potencia, número racks. Recomienda contención caliente/fresca.;centro_datos refrigeracion herramienta intermedio
Costes principales en construcción centro datos;1. Sistema energía (redundancia, SAI) 2. Sistema refrigeración (30-40% consumo total) 3. Seguridad física (6 capas Google) 4. Conectividad redundante.;centro_datos costes construccion avanzado
¿Cuánto consume un centro Tier IV de 1000 racks?;Aproximadamente 10-15 MW si cada rack consume 10-15 kW. Con PUE 1.5, consumo total 15-22.5 MW. Para 20,000 hogares equivalente.;centro_datos consumo calculo avanzado
¿Qué es LEED Gold?;Certificación de eficiencia energética y sostenibilidad en construcción. Centro Alcalá tiene LEED Gold. Requiere materiales sostenibles, eficiencia agua/energía, calidad aire interior.;centro_datos sostenibilidad certificacion intermedio
Centro de datos en Alcalá: capacidad eléctrica;50 MW instalados. Podría abastecer 10,000-16,000 hogares simultáneamente (50,000,000W / 3-5kW por hogar).;centro_datos espana alcala potencia intermedio
¿Qué es Iron Mountain en San Fernando?;Centro de datos de 79 MW en San Fernando de Henares (Madrid). Ofrece colocación y servicios de almacenaje de datos con alta seguridad.;centro_datos espana iron_mountain basico
¿Qué es Vantage Data Centers en Zaragoza?;Anunció inversión 3,200 millones € en Villanueva de Gállego, Zaragoza. Se sumará a 11 proyectadas en Aragón. No tiene presencia operativa actual.;centro_datos espana zaragoza avanzado
¿Qué es un rack de 42U?;Estructura estándar para montar servidores. 1U = 1.75 pulgadas (4.45 cm). 42U = 73.5 pulgadas (1.87 m). Cada U aloja un servidor blade.;centro_datos rack estandar intermedio
¿Qué es un SAI y su importancia?;Sistema de Alimentación Ininterrumpida. Baterías que garantizan continuidad eléctrica ante fallos. En Tier IV debe haber dos SAI redundantes. Permite apagado controlado.;centro_datos energia sai basico
¿Qué es un generador diesel de respaldo?;Arranca automáticamente en 10-15 segundos tras fallo eléctrico. Puede funcionar días con combustible. Genera emisiones CO₂. Usado en centros Tier III/IV.;centro_datos energia respaldo avanzado
Diferencia entre housing y hosting;Hosting: proveedor da servidores compartidos/virtuales. Housing: tu traes servidores físicos y alquilas espacio. Tú responsable del mantenimiento hardware.;centro_datos servicios comparacion intermedio
¿Qué es un POD en datacenter vs Kubernetes?;En datacenter: fila de racks + refrigeración propia. En Kubernetes: conjunto contenedores que comparten recursos. Mismo nombre, contexto diferente.;centro_datos kubernetes homonimia avanzado
¿Qué es S2D (Storage Spaces Direct)?;Virtualización de almacenamiento de Microsoft. Combina discos locales de múltiples servidores Windows en único disco compartido virtual.;virtualizacion almacenamiento microsoft intermedio
¿Qué es vMotion en VMware?;Migración en vivo de máquina virtual de un servidor físico a otro sin interrupción de servicio. Requiere almacenamiento compartido (vSAN).;virtualizacion vmware herramienta avanzado
¿Qué es un snapshot en virtualización?;Copia instantánea del estado de una VM en momento dado (RAM, disco, configuración). Útil para pruebas y rollback. No es backup sustituto.;virtualizacion snapshot copia_seguridad intermedio
¿Por qué Docker tiene menos overhead que VM?;Docker no incluye SO invitado completo. Usa kernel host y aísla solo procesos. Arranca en segundos vs minutos. Imágenes son capas compartidas (reutilización).;contenedor docker eficiencia avanzado
¿Qué es Docker Hub?;Registro público de imágenes Docker. Contiene imágenes preconstruidas (MySQL, Ubuntu, etc.). Permite pull/push imágenes. Versionado con tags.;contenedor docker hub intermedio
Diferencia: Docker Compose vs Swarm;Compose: orquesta contenedores en UN host (desarrollo). Swarm: orquesta contenedores en MÚLTIPLES hosts (producción). Swarm es nativo de Docker.;contenedor docker orquestacion avanzado
Explica FROM, RUN, CMD en Dockerfile;FROM: imagen base. RUN: ejecuta comandos durante construcción (instala paquetes). CMD: comando por defecto al iniciar contenedor. RUN ≠ CMD.;contenedor docker dockerfile comando intermedio
¿Qué es un namespace en contenedores?;Aislamiento de recursos del host: PID (procesos), NET (red), MNT (sistema archivos), etc. Cada contenedor tiene sus propios namespaces → aislamiento.;contenedor linux namespace avanzado
Diferencia: Cgroups vs Namespaces;Cgroups: limitan recursos (CPU, RAM). Namespaces: aíslan recursos (procesos, red). Juntos crean contenedor completo.;contenedor linux cgroups avanzado
¿Qué es un overlay network en Docker?;Red virtual que conecta contenedores en diferentes hosts como si estuvieran en misma LAN. Usa VXLAN. Permite comunicación en swarm.;contenedor docker red avanzado
¿Qué es un sidecar container?;Patrón donde un contenedor ayuda al principal (logging, proxy, monitorización). Corren juntos en mismo pod Kubernetes. Comparten namespaces.;contenedor kubernetes patron avanzado
¿Qué es Infrastructure as Code en Terraform?;Usa lenguaje HCL declarativo. terraform plan compara estado actual vs deseado. terraform apply ejecuta cambios. Estado guardado en archivo .tfstate.;cloud iac terraform avanzado
Diferencia: Terraform vs Ansible;Terraform: IaC, crea recursos (declarativo). Ansible: CaC, configura recursos existentes (imperativo/declarativo). Se complementan.;cloud iac terraform ansible avanzado
¿Qué es un módulo en Terraform?;Contenedor de recursos reutilizable. Ej: módulo "vpc" crea red completa. Permite DRY (Don't Repeat Yourself). Se publica en Terraform Registry.;cloud iac terraform modulo avanzado
¿Qué es Azure Resource Manager (ARM)?;Servicio de Azure para desplegar y gestionar recursos. Usa plantillas JSON/Bicep declarativo. Proporciona control de acceso RBAC.;cloud azure arm avanzado
¿Qué es AWS CloudFormation?;Servicio IaC de AWS. Usa plantillas JSON/YAML para desplegar stacks completos de recursos. Gestiona dependencias y rollbacks automáticamente.;cloud aws cloudformation intermedio
¿Qué es Google Cloud Deployment Manager?;IaC nativo de GCP. Usa plantillas YAML/Python para desplegar infraestructura. Similar a CloudFormation/AWS.;cloud gcp deployment_manager intermedio
Diferencia: CloudFormation vs Terraform;CloudFormation: solo AWS, nativo, sin coste extra. Terraform: multi-cloud (AWS, Azure, GCP), open-source, necesita gestión estado.;cloud iac comparacion avanzado
¿Qué es un bucket S3?;Objeto de almacenamiento de AWS. Cada bucket tiene nombre único global. Almacena archivos con metadatos. Políticas controlan acceso.;cloud aws s3 almacenamiento basico
¿Qué es un VPC en AWS?;Virtual Private Cloud. Red privada virtual en AWS. Tú defines subredes, IPs, gateways, reglas firewall. Aísla recursos.;cloud aws vpc red intermedio
¿Qué es un security group?;Firewall virtual a nivel instancia en AWS. Controla tráfico entrante/saliente por puertos/protocolos. Reglas son stateful.;cloud aws seguridad intermedio
Diferencia: Security Group vs Network ACL;Security Group: stateful, nivel instancia, permite solo reglas allow. Network ACL: stateless, nivel subred, permite reglas allow/deny. ACL evalúa primero.;cloud aws seguridad comparacion avanzado
¿Qué es un Elastic IP?;IP pública estática en AWS que puedes asociar a instancias. No cambia si reinicias. Coste si no está asociada.;cloud aws ip intermedio
¿Qué es Auto Scaling Group?;Mantiene número fijo de instancias EC2. Si una falla, lanza otra automáticamente. Escala según métricas (CPU, tráfico).;cloud aws escalado avanzado
¿Qué es un Load Balancer?;Distribuye tráfico entre múltiples instancias para alta disponibilidad. Puede ser de aplicación (HTTP) o red (TCP). Ej: AWS ALB/NLB.;cloud aws balanceador_intermedio
¿Qué es un Content Delivery Network (CDN)?;Red de servidores distribuidos globalmente que cachean contenido estático cerca de usuarios. Reduce latencia. Ej: CloudFront, Cloudflare.;cloud red cdn avanzado
¿Qué es el principio de privacidad por diseño?;Integrar protección desde fases tempranas del desarrollo, no como añadido final. DevSecOps lo implementa con pruebas seguridad en cada fase.;devsecops privacidad diseño avanzado
¿Qué es el principio de privacidad por defecto?;Software ofrece máxima protección desde instalación, sin configuración manual. Usuario no debe activar seguridad, viene habilitada.;devsecops privacidad defecto avanzado
Herramienta Snyk: ¿qué hace?;Escanea vulnerabilidades en dependencias de código open-source. Detecta licencias problemáticas. Integra con CI/CD para bloquear despliegues.;devsecops herramienta snyk avanzado
Herramienta Vault de HashiCorp;Gestiona secretos (contraseñas, tokens, certificados). Proporciona encriptación, control acceso, audit logs. Centraliza secretos en DevSecOps.;devsecops herramienta vault avanzado
¿Qué es un pipeline CI/CD?;Secuencia automatizada: Code → Build → Test → Deploy → Monitor. En DevSecOps, seguridad se inserta en cada etapa (SAST, DAST, escaneo dependencias).;devsecops pipeline avanzado
¿Qué es un ataque de inyección SQL?;Código malicioso insertado en consultas BD. DevSecOps previene con: input validation, prepared statements, análisis estático (Bandit).;devsecops seguridad ataque intermedio
¿Qué es un escaneo SAST?;Static Application Security Testing. Analiza código fuente sin ejecutar. Detecta vulnerabilidades (buffer overflow, inyección). Herramienta: SonarQube.;devsecops seguridad sast avanzado
